gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LOC100221139,1.3291811899903351e-83,-0.23485183773076604,0.05,0.156,2.3167628141531542e-79
GAD2,2.231502275611439e-83,0.2919644535038204,0.78,0.741,3.889508466390738e-79
ARHGAP12,3.1732090228998364e-82,-0.2766296695885141,0.236,0.404,5.530903326914415e-78
KCNH4,4.026591267003952e-82,-0.27021119953213146,0.086,0.207,7.018348578387889e-78
TENM4,9.409074622402834e-82,-0.1871059930038932,0.932,0.962,1.640001706684814e-77
ID4,1.9324366246241441e-81,-0.29524281543814485,0.145,0.289,3.368237036719883e-77
LOC100226679,5.608502773484222e-81,-0.18180596012182812,0.009,0.077,9.775620334182998e-77
LRFN2,6.293556410972095e-81,-0.26172911833085555,0.165,0.32,1.0969668824324362e-76
DACH1,7.317629820983856e-80,-0.25562387868356207,0.674,0.816,1.2754628777974861e-75
CORIN,1.8899624129037346e-79,-0.28709852448035456,0.19,0.344,3.294204485691209e-75
ERC2,2.2861092154341522e-79,0.2291066901626455,0.914,0.921,3.9846883625017275e-75
NRCAM,2.783252705407815e-79,0.25031475207634046,0.83,0.804,4.851209465525821e-75
DLGAP2,7.512732105529092e-79,-0.18462055946051503,0.936,0.954,1.3094692059937207e-74
THY1,2.808971529260881e-78,0.336427136516249,0.655,0.578,4.8960373755017155e-74
SUGCT,1.633265051170695e-77,-0.338199851519806,0.126,0.258,2.8467809841905215e-73
KNDC1,2.5492063631293393e-76,-0.24226038754027607,0.163,0.309,4.443266690934438e-72
LOC115495502,3.1730718667840696e-76,-0.29996991244116056,0.584,0.736,5.530664263804633e-72
CCSER1,3.9191212961864816e-76,-0.24874935703838652,0.671,0.812,6.831028419253037e-72
LOC115491469,4.54982597093928e-76,0.20991273489846107,0.064,0.005,7.930346667347165e-72
SHC3,9.372016826245672e-76,-0.3420024942149864,0.346,0.51,1.6335425328146208e-71
LOC115497502,5.306679693172812e-75,0.2510530332272615,0.103,0.025,9.249542705200212e-71
C4H4orf50,9.700669243842602e-75,-0.29486355651324114,0.445,0.611,1.6908266492017654e-70
IFI6,1.0954269260965868e-74,0.2101343691864309,0.063,0.005,1.9093291321863507e-70
EPHA6,2.4844902833560688e-74,0.19012943139279592,0.938,0.937,4.330466563889628e-70
MRPS6,3.687232065887327e-74,-0.26816746362244054,0.14,0.273,6.426845490841611e-70
TBC1D30,6.562103055663642e-74,0.39580793281109516,0.314,0.194,1.1437745626021728e-69
LOC101233885,7.378538615888902e-73,-0.24031655358564669,0.071,0.179,1.2860792807494356e-68
STMN3,5.58728501493167e-72,0.35175721634485013,0.584,0.494,9.7386377810259e-68
ITGA9,9.80495876651093e-72,-0.2869412307499072,0.19,0.334,1.709004313002855e-67
LOC101233617,6.679482041883004e-71,-0.23116219176145425,0.095,0.21,1.1642337199002075e-66
LOC100232645,1.8519529382409302e-70,-0.17029634024801918,0.013,0.079,3.2279539713539413e-66
LOC115492031,1.9573926437344815e-70,-0.20953020829421118,0.07,0.174,3.411735378029201e-66
USH1C,3.3879699947004005e-70,-0.25700689975856783,0.248,0.408,5.905231700762798e-66
B4GALNT3,4.1842943009260907e-70,-0.164340360272513,0.009,0.071,7.293224966514176e-66
XYLT1,4.820634799889526e-70,0.37625163387436555,0.579,0.484,8.402366456207444e-66
TFPI,2.899909517681086e-69,-0.2673409088522445,0.168,0.305,5.054542289318133e-65
SPAG6,4.0355339052764585e-69,-0.2239102860597434,0.074,0.178,7.033935596896867e-65
SHANK2,4.77793162581376e-69,-0.24820272995531534,0.519,0.684,8.327934823793385e-65
NRG1,7.629490686810369e-69,0.17423151969870743,0.951,0.947,1.3298202267110472e-64
NFE2L3,7.904945898368891e-69,0.2713109193840497,0.14,0.051,1.3778320700856976e-64
KITLG,1.0879103844922811e-68,0.3644509083638372,0.563,0.46,1.896227800170046e-64
EDIL3,1.9000082125054686e-68,0.20668315321332775,0.866,0.809,3.311714314397032e-64
CALHM5,2.0677589725499933e-68,-0.20379437289441366,0.026,0.102,3.6041038891546386e-64
LOC115490539,3.7438823157365805e-68,-0.1649221219451822,0.019,0.09,6.52558687632886e-64
LOC115491426,3.8272413943476035e-68,0.21081414884715335,0.079,0.014,6.670881750347873e-64
TMPRSS9,5.011451016302768e-68,0.3701383497269404,0.48,0.383,8.734959121415725e-64
NRP1,5.893286475846083e-68,-0.30646417584429875,0.435,0.593,1.0271998327399723e-63
MRAS,1.294492764937476e-67,0.37990831048780815,0.306,0.19,2.2563008892860206e-63
CDH18,1.4163413773890943e-67,-0.2777419542704085,0.624,0.762,2.4686830207891915e-63
ARHGEF10,1.9148640641421662e-67,-0.25527713379790973,0.242,0.392,3.3376080637997956e-63
VIT,1.954422620113932e-67,0.3480458210737054,0.442,0.327,3.406558626858583e-63
KHDC4,1.9891364829398152e-67,-0.2351553471391547,0.167,0.303,3.467064889764098e-63
SRSF5,4.8048775163066925e-67,-0.19228578007040564,0.856,0.934,8.374901510922565e-63
HIVEP2,1.3826863475906602e-66,-0.23321937439811324,0.71,0.825,2.4100223038505206e-62
MDH1,2.2852105601985403e-66,0.39249516088814906,0.368,0.255,3.983122006426056e-62
B4GALT4,4.6317481815743374e-66,-0.22014677222548523,0.084,0.19,8.07313708048407e-62
PRTFDC1,6.82449467469094e-66,-0.2251641317734709,0.137,0.264,1.1895094217986307e-61
CDK14,8.217600292545556e-66,-0.27224313526037447,0.178,0.312,1.4323277309906903e-61
FNDC9,1.1703522204664125e-65,0.25772571995561977,0.108,0.032,2.039923920272957e-61
PP2D1,1.216926244087581e-65,-0.14674251041464353,0.008,0.065,2.1211024434446536e-61
KCNH5,2.0498717657222507e-65,-0.2633507488147677,0.614,0.747,3.572926487653883e-61
CALM2,2.123686018330063e-65,0.22400917853131141,0.858,0.836,3.7015847299493e-61
LOC100224263,2.563798903991476e-65,0.33703229689794023,0.555,0.434,4.468701489657143e-61
MAPRE3,2.9821141981547997e-65,-0.1547122068376218,0.009,0.066,5.197825047383816e-61
PPIP5K2,5.846868788453458e-65,-0.24705918385614756,0.38,0.547,1.0191092298274377e-60
GATAD1,9.264073218246054e-65,-0.21401434756473015,0.087,0.195,1.6147279619402873e-60
LOC100224567,1.812358676983772e-64,-0.16625466414222112,0.879,0.933,3.158941173982715e-60
ANKS6,4.005980525711937e-64,-0.23053518329794404,0.119,0.236,6.982424056315906e-60
AREG,3.2764954024605695e-63,-0.15148594936714943,0.012,0.072,5.710931486488773e-59
NALCN,3.5221979466908384e-63,-0.2399231011276146,0.473,0.63,6.139191021082132e-59
CDH9,6.284283054839729e-63,-0.22482089920408743,0.706,0.837,1.0953505364585647e-58
GRIK2,9.745781995277316e-63,-0.16962473425414482,0.93,0.955,1.6986898017768363e-58
LOC100218644,1.0973629775797243e-62,-0.20268894188684639,0.115,0.23,1.9127036699214595e-58
YIF1B,3.2179881503333824e-62,0.2331357425831202,0.1,0.028,5.608953346031086e-58
GRM4,3.321434228717007e-62,0.265747092454812,0.688,0.636,5.789259860653743e-58
KIAA1211,1.05219473267609e-61,0.1548710066720269,0.953,0.955,1.833975419054425e-57
ANXA11,3.0912990637658038e-61,-0.23795730730177345,0.207,0.344,5.388134268143796e-57
LOC115494589,4.02176003625138e-61,-0.21178251518555774,0.084,0.185,7.009927743186156e-57
PLN,5.4376222852886546e-61,-0.2245665663140845,0.112,0.223,9.477775643258125e-57
ACHE,8.691902184280898e-61,0.22439868267137042,0.095,0.027,1.5149985507201604e-56
LRBA,8.88205098114063e-61,-0.22269816428553213,0.496,0.661,1.5481414860128119e-56
RFX2,9.798981159144584e-61,-0.23795592774945584,0.311,0.465,1.707962416038901e-56
PCSK2,1.9078130413231433e-60,-0.22590589183899734,0.504,0.667,3.3253181310262388e-56
CACNA1G,4.283836937300782e-60,-0.17461998883164753,0.3,0.464,7.466727781715263e-56
DGLUCY,5.239406466016385e-60,-0.21901420875486488,0.302,0.457,9.13228547026656e-56
FAF1,5.761142415676902e-60,-0.2539592401350016,0.351,0.503,1.0041671230524839e-55
MXD4,3.22581319163609e-59,0.23176659200453575,0.8,0.792,5.622592393021705e-55
CHGA,3.6446617149749806e-59,0.3414157841560027,0.474,0.384,6.352645369201391e-55
PSMD1,4.151632144620781e-59,-0.24036325513585888,0.244,0.385,7.236294828074022e-55
DYDC1,7.524274887229022e-59,0.18171315516857078,0.07,0.013,1.3114811128440185e-54
RIMKLB,2.384980289962196e-58,-0.23436159829354597,0.306,0.457,4.1570206454041077e-54
SLC35F5,6.051158617290713e-58,-0.22015941903395164,0.284,0.435,1.0547169469937712e-53
PRMT5,1.760839939521761e-57,-0.22446577352788932,0.159,0.281,3.0691440145864292e-53
PRKCE,1.902646979024108e-57,-0.2080223989453267,0.594,0.741,3.3163136844390203e-53
GRM5,2.3995913687157465e-57,-0.1607255964152423,0.936,0.953,4.182487755671546e-53
GPR22,3.4551045226201546e-57,-0.20811218601598036,0.142,0.26,6.022247182926929e-53
SPTBN4,3.5265796868982406e-57,-0.21581736085425463,0.507,0.666,6.146828394263633e-53
SNAP25,5.63023707734617e-57,0.2712116709896437,0.666,0.618,9.813503225814375e-53
CFTR,5.66579124703031e-57,0.2996327480259915,0.699,0.626,9.875474143573832e-53
HTR2A,6.159248552725741e-57,0.30820542541168483,0.583,0.51,1.0735570227400968e-52
LOC115495724,1.0252540002745901e-56,0.14052425443780858,0.042,0.001,1.7870177224786104e-52
UBB,1.2419019538207432e-56,0.2638653499709376,0.741,0.705,2.1646351055095553e-52
R3HDM1,1.6114244069947707e-56,-0.19086222054552593,0.822,0.899,2.8087127413918855e-52
PIAS2,1.7243643246272284e-56,-0.21385326538988547,0.23,0.37,3.005567017825259e-52
DYNC1I1,2.6924595085136055e-56,-0.21045064362630894,0.453,0.618,4.6929569233392146e-52
LOC115490581,3.0973523005171883e-56,-0.10625275730312086,0,0.038,5.398685059801459e-52
WIPF3,5.001252546469502e-56,-0.25134830007093656,0.305,0.449,8.717183188496341e-52
MICALL2,7.967912650723349e-56,0.16332986286448054,0.063,0.011,1.3888071750210798e-51
LOC115492305,8.508761977504216e-56,0.269883320131028,0.159,0.072,1.4830772126789848e-51
LOC115491350,1.4632916436982592e-55,-0.1263286983890578,0.006,0.052,2.550517334966066e-51
KCNG2,9.336414816676754e-55,-0.203787912617376,0.097,0.197,1.6273371025467584e-50
ELP3,1.4047224070179964e-54,-0.2026673011659091,0.125,0.235,2.448431155432368e-50
EPB41L2,2.62624756109793e-54,-0.16543079455373988,0.856,0.914,4.577549498993693e-50
LOC100218092,4.7610242124554606e-54,-0.11086246758167899,0.001,0.04,8.298465202309868e-50
GRM3,7.285259085860297e-54,-0.20614794701314176,0.372,0.53,1.2698206586654497e-49
LRMDA,8.92875645890918e-54,-0.24856094840258813,0.404,0.551,1.55628225078787e-49
KCTD8,1.3997847329092455e-53,-0.25720378986384684,0.335,0.473,2.439824789460815e-49
HAAO,2.1458256077860444e-53,-0.14356990331621058,0.01,0.06,3.740174034371075e-49
LOC115497509,2.1730478230115513e-53,-0.11026323852839685,0.002,0.041,3.787622355509134e-49
HTR2C,2.427507744358786e-53,-0.2060238411204771,0.3,0.444,4.231145998417364e-49
LSM11,2.449362362516881e-53,-0.20677891402672777,0.181,0.305,4.269238597866924e-49
GYG2,3.663563122059462e-53,-0.17779759895243158,0.096,0.195,6.385590521749643e-49
RSRP1,3.9957320778159914e-53,0.2111627841937449,0.791,0.774,6.964561011633273e-49
ADGRL2,5.270460983522312e-53,-0.17007708408366984,0.818,0.887,9.186413494279391e-49
STMN1,1.2513861777255018e-52,0.33043960306330555,0.271,0.17,2.1811661077755495e-48
TRAPPC9,3.3199284047963286e-52,-0.2140085209990752,0.481,0.627,5.786635209560001e-48
LOC100221646,3.5595942161325235e-52,-0.21809309554690937,0.125,0.231,6.204372718718988e-48
CLSTN1,3.582166367010279e-52,0.26267036629915985,0.642,0.593,6.243715977698916e-48
ADD2,4.7072767220707795e-52,-0.1882910979231004,0.186,0.311,8.204783326569369e-48
NTAN1,5.142075470575956e-52,-0.17174323497644495,0.073,0.162,8.962637545213891e-48
RSPO2,5.614718351565488e-52,0.2920223160417864,0.202,0.108,9.786454086778646e-48
PCCA,6.490894534652444e-52,-0.20998144815930253,0.434,0.587,1.131362917389921e-47
LOC100218173,7.166087860568416e-52,0.2136160351819052,0.799,0.788,1.2490491140970748e-47
NAV2,1.173532873426923e-51,-0.1992914010748208,0.678,0.803,2.045467798383127e-47
KIZ,1.276237960742354e-51,-0.2177280667950554,0.169,0.285,2.224482765573923e-47
KLHL2,1.413014603760931e-51,-0.18411884660212285,0.779,0.869,2.4628844543553027e-47
KCNT2,1.4754519284933976e-51,0.19168761631794062,0.887,0.896,2.571712711363992e-47
CALML4,1.621269921440625e-51,-0.10443045726389813,0.002,0.04,2.8258734730710094e-47
TM6SF1,2.139717815016859e-51,-0.18640642207110145,0.054,0.131,3.7295281515743854e-47
NBEA,2.779042441399636e-51,-0.16065373712189368,0.888,0.94,4.843870975359565e-47
LOC105759311,4.703354956690473e-51,0.31543872996714994,0.537,0.466,8.197947689511495e-47
ANKRD11,4.9355548795034113e-51,0.23022206745129759,0.737,0.723,8.602672154974446e-47
SAMD12,8.246262199900143e-51,-0.19539143935665204,0.641,0.782,1.437323501442595e-46
LDHB,1.0389426308536833e-50,0.3370099917999245,0.461,0.372,1.81087700557797e-46
MSI2,1.2160749765501893e-50,-0.2526408611321327,0.329,0.47,2.11961868412698e-46
TCF12,3.0257182762293715e-50,-0.1997229502972313,0.375,0.529,5.273826955467794e-46
ABLIM3,4.1243749293866406e-50,-0.1796315433956009,0.154,0.269,7.188785501920914e-46
KCNH1,1.171064846770438e-49,-0.19786727905024226,0.095,0.188,2.0411660279208735e-45
ANO4,2.8687482626328797e-49,0.16449792757159498,0.914,0.921,5.000228221769109e-45
LOC100218154,3.2509041939567658e-49,0.1377376258198972,0.049,0.006,5.666326010066642e-45
ACVR2B,3.775157555661139e-49,-0.24669988930922138,0.465,0.599,6.580099619517365e-45
PLPPR1,5.749798997435048e-49,-0.20433517256658207,0.485,0.636,1.0021899652529288e-44
HCN1,6.325964508491749e-49,-0.22280531771230616,0.538,0.673,1.1026156138301118e-44
TRAIP,7.381100642614365e-49,0.27434181636544297,0.175,0.091,1.2865258420076837e-44
MAP9,8.224032410985072e-49,-0.1972002515676755,0.124,0.225,1.433448849234698e-44
WARS2,1.1826023354468729e-48,-0.1734991950871514,0.119,0.221,2.0612758706838995e-44
SGTB,6.173381258998975e-48,-0.2010846529258914,0.489,0.638,1.0760203534435214e-43
MEI4,8.645102196065276e-48,-0.2246376901090963,0.291,0.422,1.5068413127741775e-43
B3GNTL1,1.4576590906549755e-47,-0.17562040552191682,0.046,0.116,2.540699795011622e-43
LOC101234090,1.643765095664243e-47,-0.12810831783439836,0.014,0.063,2.8650825617427754e-43
SLIT1,1.9037791745439112e-47,-0.173561816472039,0.093,0.185,3.3182871012300372e-43
ZRANB1,2.4481693073875303e-47,0.2459826081598695,0.663,0.616,4.267159102776465e-43
LOC100227272,4.118309312444405e-47,0.24651069936942982,0.144,0.067,7.178213131590598e-43
MYRIP,6.321617008784561e-47,0.2872131777507825,0.552,0.48,1.101857844631149e-42
WDR44,1.1955913899930702e-46,-0.17501088855265368,0.141,0.248,2.0839157927579212e-42
SLC16A4,1.4151109318703763e-46,-0.1398962960379693,0.028,0.087,2.466538354250066e-42
ACSS1,1.476309266328316e-46,0.305308101233197,0.255,0.164,2.5732070512102548e-42
LOC100190263,1.59394895559244e-46,-0.10795651668120988,0.002,0.037,2.778253029597623e-42
NPY,1.638889871676866e-46,-0.20074621779092006,0.398,0.542,2.8565850463327776e-42
TNS3,2.791469288035044e-46,-0.19211544707003247,0.233,0.357,4.8655309690450816e-42
MAGI2,2.873192696282128e-46,-0.06509261770828223,0.88,0.952,5.007974869619749e-42
